frame,hp_p1,hp_p2,x_p1,x_p2,distance,action_id
0,100.0,100.0,200.0,752.0,552.0,3
1,100.0,100.0,208.0,744.0,536.0,2
2,100.0,100.0,216.0,736.0,520.0,2
3,100.0,100.0,224.0,728.0,504.0,2
4,100.0,100.0,232.0,720.0,488.0,2
5,100.0,100.0,240.0,712.0,472.0,2
6,100.0,100.0,240.0,704.0,464.0,3
7,100.0,100.0,248.0,696.0,448.0,2
8,100.0,100.0,248.0,688.0,440.0,0
9,100.0,100.0,248.0,680.0,432.0,0
10,100.0,100.0,248.0,672.0,424.0,3
11,100.0,100.0,256.0,664.0,408.0,2
12,100.0,100.0,264.0,656.0,392.0,2
13,100.0,100.0,272.0,648.0,376.0,2
14,100.0,100.0,272.0,640.0,368.0,0
15,100.0,100.0,272.0,632.0,360.0,3
16,100.0,100.0,272.0,624.0,352.0,3
17,100.0,100.0,280.0,616.0,336.0,2
18,100.0,100.0,288.0,608.0,320.0,2
19,100.0,100.0,296.0,600.0,304.0,2
20,100.0,100.0,304.0,592.0,288.0,2
21,100.0,100.0,312.0,584.0,272.0,2
22,100.0,100.0,312.0,576.0,264.0,3
23,100.0,100.0,320.0,568.0,248.0,2
24,100.0,100.0,320.0,560.0,240.0,0
25,100.0,100.0,328.0,552.0,224.0,2
26,100.0,100.0,336.0,544.0,208.0,2
27,100.0,100.0,336.0,536.0,200.0,0
28,100.0,100.0,344.0,536.0,192.0,2
29,100.0,100.0,352.0,544.0,192.0,2
30,100.0,100.0,360.0,552.0,192.0,2
31,100.0,100.0,368.0,560.0,192.0,2
32,100.0,100.0,376.0,552.0,176.0,2
33,100.0,100.0,384.0,544.0,160.0,2
34,100.0,100.0,392.0,536.0,144.0,2
35,100.0,100.0,400.0,536.0,136.0,2
36,100.0,100.0,400.0,528.0,128.0,6
37,100.0,100.0,408.0,520.0,112.0,2
38,100.0,100.0,408.0,528.0,120.0,8
39,100.0,100.0,408.0,536.0,128.0,8
40,100.0,100.0,408.0,544.0,136.0,3
41,100.0,100.0,416.0,536.0,120.0,2
42,100.0,100.0,424.0,544.0,120.0,2
43,100.0,100.0,424.0,552.0,128.0,8
44,100.0,100.0,424.0,560.0,136.0,7
45,100.0,100.0,424.0,568.0,144.0,7
46,100.0,100.0,424.0,560.0,136.0,6
47,100.0,100.0,424.0,568.0,144.0,3
48,100.0,100.0,432.0,576.0,144.0,2
49,100.0,100.0,432.0,568.0,136.0,5
50,100.0,100.0,432.0,560.0,128.0,8
51,100.0,100.0,432.0,560.0,128.0,8
52,100.0,100.0,440.0,560.0,120.0,2
53,100.0,100.0,448.0,568.0,120.0,2
54,100.0,100.0,456.0,576.0,120.0,2
55,100.0,100.0,456.0,576.0,120.0,6
56,100.0,100.0,456.0,576.0,120.0,7
57,100.0,100.0,456.0,584.0,128.0,5
58,100.0,100.0,464.0,592.0,128.0,2
59,100.0,100.0,464.0,584.0,120.0,7
60,100.0,100.0,472.0,576.0,104.0,2
61,100.0,100.0,472.0,568.0,96.0,3
62,93.0,100.0,480.0,568.0,88.0,2
63,93.0,100.0,480.0,576.0,96.0,9
64,86.0,100.0,488.0,576.0,88.0,2
65,86.0,100.0,488.0,584.0,96.0,0
66,79.0,100.0,496.0,584.0,88.0,2
67,77.0,100.0,496.0,584.0,88.0,9
68,75.0,100.0,496.0,584.0,88.0,9
69,75.0,100.0,496.0,576.0,80.0,9
70,73.0,100.0,496.0,576.0,80.0,9
71,66.0,100.0,496.0,576.0,80.0,3
72,64.0,100.0,496.0,576.0,80.0,9
73,61.0,97.0,496.0,576.0,80.0,5
74,61.0,97.0,496.0,576.0,80.0,9
75,58.0,97.0,496.0,576.0,80.0,3
76,56.0,97.0,496.0,576.0,80.0,9
77,56.0,97.0,496.0,576.0,80.0,9
78,54.0,97.0,496.0,576.0,80.0,9
79,52.0,97.0,496.0,576.0,80.0,9
80,50.0,97.0,496.0,576.0,80.0,9
81,48.0,97.0,496.0,576.0,80.0,9
82,46.0,97.0,496.0,576.0,80.0,9
83,46.0,97.0,496.0,576.0,80.0,9
84,44.0,97.0,496.0,576.0,80.0,9
85,44.0,97.0,496.0,576.0,80.0,9
86,42.0,97.0,496.0,576.0,80.0,9
87,35.0,97.0,496.0,576.0,80.0,0
88,33.0,97.0,496.0,576.0,80.0,9
89,26.0,97.0,496.0,576.0,80.0,0
90,26.0,97.0,496.0,576.0,80.0,9
91,26.0,97.0,496.0,576.0,80.0,9
92,24.0,97.0,496.0,576.0,80.0,9
93,22.0,97.0,496.0,576.0,80.0,9
94,20.0,97.0,496.0,576.0,80.0,9
95,20.0,97.0,496.0,576.0,80.0,9
96,20.0,97.0,496.0,576.0,80.0,9
97,18.0,97.0,496.0,576.0,80.0,9
98,18.0,97.0,496.0,576.0,80.0,9
99,18.0,97.0,496.0,576.0,80.0,9
100,16.0,97.0,496.0,576.0,80.0,9
101,14.0,97.0,496.0,576.0,80.0,9
102,12.0,97.0,496.0,576.0,80.0,9
103,9.0,97.0,496.0,576.0,80.0,0
104,7.0,97.0,496.0,576.0,80.0,9
105,0.0,94.0,496.0,576.0,80.0,5
10000,100.0,100.0,200.0,752.0,552.0,3
10001,100.0,100.0,200.0,744.0,544.0,0
10002,100.0,100.0,208.0,736.0,528.0,2
10003,100.0,100.0,208.0,728.0,520.0,0
10004,100.0,100.0,216.0,720.0,504.0,2
10005,100.0,100.0,224.0,712.0,488.0,2
10006,100.0,100.0,232.0,704.0,472.0,2
10007,100.0,100.0,240.0,696.0,456.0,2
10008,100.0,100.0,248.0,688.0,440.0,2
10009,100.0,100.0,248.0,680.0,432.0,3
10010,100.0,100.0,248.0,672.0,424.0,0
10011,100.0,100.0,248.0,664.0,416.0,3
10012,100.0,100.0,256.0,656.0,400.0,2
10013,100.0,100.0,264.0,648.0,384.0,2
10014,100.0,100.0,264.0,640.0,376.0,3
10015,100.0,100.0,272.0,632.0,360.0,2
10016,100.0,100.0,280.0,624.0,344.0,2
10017,100.0,100.0,288.0,616.0,328.0,2
10018,100.0,100.0,296.0,608.0,312.0,2
10019,100.0,100.0,304.0,600.0,296.0,2
10020,100.0,100.0,304.0,592.0,288.0,0
10021,100.0,100.0,312.0,584.0,272.0,2
10022,100.0,100.0,312.0,576.0,264.0,3
10023,100.0,100.0,312.0,568.0,256.0,3
10024,100.0,100.0,320.0,560.0,240.0,2
10025,100.0,100.0,328.0,552.0,224.0,2
10026,100.0,100.0,336.0,544.0,208.0,2
10027,100.0,100.0,344.0,536.0,192.0,2
10028,100.0,100.0,344.0,528.0,184.0,3
10029,100.0,100.0,352.0,536.0,184.0,2
10030,100.0,100.0,360.0,528.0,168.0,2
10031,100.0,100.0,360.0,528.0,168.0,3
10032,100.0,100.0,368.0,528.0,160.0,2
10033,100.0,100.0,376.0,520.0,144.0,2
10034,100.0,100.0,384.0,512.0,128.0,2
10035,100.0,100.0,392.0,512.0,120.0,2
10036,100.0,100.0,400.0,504.0,104.0,2
10037,100.0,100.0,408.0,496.0,88.0,2
10038,100.0,100.0,408.0,488.0,80.0,9
10039,100.0,100.0,408.0,488.0,80.0,9
10040,97.0,100.0,408.0,488.0,80.0,3
10041,95.0,100.0,408.0,488.0,80.0,9
10042,95.0,100.0,408.0,488.0,80.0,9
10043,88.0,97.0,408.0,488.0,80.0,5
10044,85.0,97.0,408.0,488.0,80.0,0
10045,85.0,97.0,408.0,488.0,80.0,9
10046,85.0,97.0,408.0,488.0,80.0,9
10047,83.0,97.0,408.0,488.0,80.0,9
10048,83.0,97.0,408.0,488.0,80.0,9
10049,81.0,97.0,408.0,488.0,80.0,9
10050,79.0,97.0,408.0,488.0,80.0,9
10051,77.0,97.0,408.0,488.0,80.0,9
10052,77.0,97.0,408.0,488.0,80.0,9
10053,70.0,97.0,408.0,488.0,80.0,3
10054,63.0,94.0,408.0,488.0,80.0,5
10055,61.0,94.0,408.0,488.0,80.0,9
10056,54.0,94.0,408.0,488.0,80.0,0
10057,51.0,94.0,408.0,488.0,80.0,0
10058,49.0,94.0,408.0,488.0,80.0,9
10059,47.0,94.0,408.0,488.0,80.0,9
10060,45.0,94.0,408.0,488.0,80.0,9
10061,45.0,94.0,408.0,488.0,80.0,9
10062,43.0,94.0,408.0,488.0,80.0,9
10063,41.0,94.0,408.0,488.0,80.0,9
10064,34.0,94.0,408.0,488.0,80.0,3
10065,34.0,94.0,408.0,488.0,80.0,9
10066,32.0,94.0,408.0,488.0,80.0,9
10067,32.0,94.0,408.0,488.0,80.0,9
10068,32.0,94.0,408.0,488.0,80.0,9
10069,30.0,94.0,408.0,488.0,80.0,9
10070,30.0,94.0,408.0,488.0,80.0,9
10071,30.0,94.0,408.0,488.0,80.0,9
10072,23.0,94.0,408.0,488.0,80.0,3
10073,20.0,91.0,408.0,488.0,80.0,5
10074,18.0,91.0,408.0,488.0,80.0,9
10075,11.0,88.0,408.0,488.0,80.0,5
10076,11.0,88.0,408.0,488.0,80.0,9
10077,8.0,85.0,408.0,488.0,80.0,5
10078,6.0,85.0,408.0,488.0,80.0,9
10079,6.0,85.0,408.0,488.0,80.0,9
10080,4.0,85.0,408.0,488.0,80.0,9
10081,0.0,82.0,408.0,488.0,80.0,5
20000,100.0,100.0,208.0,752.0,544.0,2
20001,100.0,100.0,216.0,744.0,528.0,2
20002,100.0,100.0,224.0,736.0,512.0,2
20003,100.0,100.0,232.0,728.0,496.0,2
20004,100.0,100.0,240.0,720.0,480.0,2
20005,100.0,100.0,240.0,712.0,472.0,3
20006,100.0,100.0,240.0,704.0,464.0,3
20007,100.0,100.0,248.0,696.0,448.0,2
20008,100.0,100.0,256.0,688.0,432.0,2
20009,100.0,100.0,264.0,680.0,416.0,2
20010,100.0,100.0,272.0,672.0,400.0,2
20011,100.0,100.0,272.0,664.0,392.0,3
20012,100.0,100.0,280.0,656.0,376.0,2
20013,100.0,100.0,288.0,648.0,360.0,2
20014,100.0,100.0,296.0,640.0,344.0,2
20015,100.0,100.0,296.0,632.0,336.0,3
20016,100.0,100.0,304.0,624.0,320.0,2
20017,100.0,100.0,304.0,616.0,312.0,3
20018,100.0,100.0,312.0,608.0,296.0,2
20019,100.0,100.0,320.0,600.0,280.0,2
20020,100.0,100.0,328.0,592.0,264.0,2
20021,100.0,100.0,336.0,584.0,248.0,2
20022,100.0,100.0,336.0,576.0,240.0,3
20023,100.0,100.0,344.0,568.0,224.0,2
20024,100.0,100.0,344.0,560.0,216.0,0
20025,100.0,100.0,352.0,552.0,200.0,2
20026,100.0,100.0,360.0,544.0,184.0,2
20027,100.0,100.0,368.0,536.0,168.0,2
20028,100.0,100.0,368.0,536.0,168.0,7
20029,100.0,100.0,376.0,528.0,152.0,2
20030,100.0,100.0,384.0,520.0,136.0,2
20031,100.0,100.0,384.0,512.0,128.0,8
20032,100.0,100.0,384.0,504.0,120.0,8
20033,100.0,100.0,384.0,496.0,112.0,5
20034,100.0,100.0,392.0,488.0,96.0,2
20035,100.0,100.0,392.0,488.0,96.0,6
20036,100.0,93.0,392.0,480.0,88.0,8
20037,93.0,93.0,392.0,480.0,88.0,0
20038,93.0,93.0,392.0,488.0,96.0,0
20039,93.0,93.0,392.0,496.0,104.0,6
20040,93.0,93.0,392.0,504.0,112.0,5
20041,93.0,93.0,400.0,512.0,112.0,2
20042,93.0,93.0,408.0,520.0,112.0,2
20043,93.0,93.0,408.0,528.0,120.0,5
20044,93.0,93.0,416.0,536.0,120.0,2
20045,93.0,93.0,416.0,536.0,120.0,3
20046,93.0,93.0,416.0,528.0,112.0,3
20047,93.0,93.0,416.0,536.0,120.0,6
20048,93.0,93.0,424.0,528.0,104.0,2
20049,93.0,93.0,424.0,528.0,104.0,8
20050,93.0,93.0,424.0,536.0,112.0,8
20051,93.0,93.0,432.0,544.0,112.0,2
20052,93.0,93.0,440.0,536.0,96.0,2
20053,93.0,90.0,440.0,528.0,88.0,7
20054,93.0,90.0,440.0,536.0,96.0,0
20055,93.0,90.0,448.0,528.0,80.0,2
20056,90.0,87.0,448.0,528.0,80.0,5
20057,88.0,87.0,448.0,528.0,80.0,9
20058,88.0,87.0,448.0,528.0,80.0,9
20059,85.0,87.0,448.0,528.0,80.0,3
20060,85.0,87.0,448.0,528.0,80.0,9
20061,83.0,87.0,448.0,528.0,80.0,9
20062,81.0,87.0,448.0,528.0,80.0,9
20063,74.0,87.0,448.0,528.0,80.0,3
20064,74.0,87.0,448.0,528.0,80.0,9
20065,74.0,87.0,448.0,528.0,80.0,9
20066,72.0,87.0,448.0,528.0,80.0,9
20067,72.0,87.0,448.0,528.0,80.0,9
20068,70.0,87.0,448.0,528.0,80.0,9
20069,68.0,87.0,448.0,528.0,80.0,9
20070,68.0,87.0,448.0,528.0,80.0,9
20071,66.0,87.0,448.0,528.0,80.0,9
20072,66.0,87.0,448.0,528.0,80.0,9
20073,66.0,87.0,448.0,528.0,80.0,9
20074,64.0,87.0,448.0,528.0,80.0,9
20075,61.0,87.0,448.0,528.0,80.0,0
20076,61.0,87.0,448.0,528.0,80.0,9
20077,61.0,87.0,448.0,528.0,80.0,9
20078,59.0,87.0,448.0,528.0,80.0,9
20079,56.0,87.0,448.0,528.0,80.0,0
20080,56.0,87.0,448.0,528.0,80.0,9
20081,49.0,84.0,448.0,528.0,80.0,5
20082,47.0,84.0,448.0,528.0,80.0,9
20083,45.0,84.0,448.0,528.0,80.0,9
20084,43.0,84.0,448.0,528.0,80.0,9
20085,41.0,84.0,448.0,528.0,80.0,9
20086,34.0,81.0,448.0,528.0,80.0,5
20087,32.0,81.0,448.0,528.0,80.0,9
20088,32.0,81.0,448.0,528.0,80.0,9
20089,30.0,81.0,448.0,528.0,80.0,9
20090,30.0,81.0,448.0,528.0,80.0,9
20091,28.0,81.0,448.0,528.0,80.0,9
20092,28.0,81.0,448.0,528.0,80.0,9
20093,26.0,81.0,448.0,528.0,80.0,9
20094,19.0,81.0,448.0,528.0,80.0,0
20095,19.0,81.0,448.0,528.0,80.0,9
20096,17.0,81.0,448.0,528.0,80.0,9
20097,17.0,81.0,448.0,528.0,80.0,9
20098,10.0,78.0,448.0,528.0,80.0,5
20099,8.0,78.0,448.0,528.0,80.0,9
20100,1.0,78.0,448.0,528.0,80.0,0
20101,0.0,78.0,448.0,528.0,80.0,9
30000,100.0,100.0,208.0,752.0,544.0,2
30001,100.0,100.0,216.0,744.0,528.0,2
30002,100.0,100.0,224.0,736.0,512.0,2
30003,100.0,100.0,232.0,728.0,496.0,2
30004,100.0,100.0,240.0,720.0,480.0,2
30005,100.0,100.0,248.0,712.0,464.0,2
30006,100.0,100.0,256.0,704.0,448.0,2
30007,100.0,100.0,256.0,696.0,440.0,3
30008,100.0,100.0,256.0,688.0,432.0,3
30009,100.0,100.0,256.0,680.0,424.0,0
30010,100.0,100.0,256.0,672.0,416.0,3
30011,100.0,100.0,264.0,664.0,400.0,2
30012,100.0,100.0,272.0,656.0,384.0,2
30013,100.0,100.0,280.0,648.0,368.0,2
30014,100.0,100.0,288.0,640.0,352.0,2
30015,100.0,100.0,288.0,632.0,344.0,0
30016,100.0,100.0,296.0,624.0,328.0,2
30017,100.0,100.0,304.0,616.0,312.0,2
30018,100.0,100.0,312.0,608.0,296.0,2
30019,100.0,100.0,312.0,600.0,288.0,0
30020,100.0,100.0,320.0,592.0,272.0,2
30021,100.0,100.0,328.0,584.0,256.0,2
30022,100.0,100.0,336.0,576.0,240.0,2
30023,100.0,100.0,344.0,568.0,224.0,2
30024,100.0,100.0,352.0,560.0,208.0,2
30025,100.0,100.0,352.0,552.0,200.0,3
